#wl in A            flux in erg/cm^2/s/A
565.728486607108   169.400880228788
571.582582851457   14.7460159321419
575.518929311071   111.735910194851
577.497256640777   14.7460159321419
581.474335981218   108.678735911864
589.510850740026   108.678735911864
593.570664701883   12.1433174759379
595.61104427636   105.705208100098
599.712868747196   49.979876738269
599.712868747196   11.8110676394006
603.842941458476   54.3174982494584
616.404601128646   160.257837124139
616.404601128646   50.6779778204567
627.072039789907   155.873068275443
637.924088117258   9.20143201528386
637.924088117258   147.460159321419
644.525256516652   9.20143201528386
646.740790819198   31.1871654049304
653.433193489795   36.8353720078807
662.464246415828   34.8472631291726
664.741445404237   25.6825743597069
673.928788862428   73.7004058669004
673.928788862428   27.9114971637539
690.313234589977   80.0966694580604
692.686163556331   147.460159321419
699.854003897742   128.361190081958
711.96560988632   118.110676394006
714.412968178315   14.3425544075018
716.868739183685   10.5705208100098
729.274800542434   10.8678735911864
736.821256080776   13.9501318782496
739.354054836429   12.1433174759379
741.895560004231   19.4606179420557
741.895560004231   16.9400880228787
747.004809391182   23.6316461948315
752.149244902305   179.065552969238
752.149244902305   24.9798807877256
773.083719650272   169.400880228788
781.083505071923   194.606179420557
795.96539647469   65.9594625741875
797.332275225631   189.281615401725
800.073078612975   27.9114971637539
802.823303421525   15.5873068275443
811.130830789686   17.4166191586207
822.341411359791   20.0080525455621
825.168182827395   279.114971637539
845.229535793865   279.114971637539
848.134984433996   27.1478186723907
862.812726790806   25.6825743597069
871.741018123237   15.1608269833196
871.741018123237   22.3561796240478
880.761698433764   13.9501318782496
892.934642191483   100.
892.934642191483   13.1972039306138
902.174631796131   100.
919.363658077621   108.678735911864
924.108152867971   164.765951192565
943.332244627196   151.608269833196
946.574918091948   114.879083956192
949.828738139739   54.3174982494584
959.657461600471   52.83133271436
966.266382804065   97.2639285994487
969.587891612066   972.639285994487
989.758091971337   972.639285994487
996.574308696782   4.11583381866649
999.999999999999   71.6839101398858
1010.34789016805   124.849136270718
1010.34789016805   4.00322166665973
1013.82092770311   27.1478186723907
1017.30590369009   378.715650686658
1034.91130168271   52.83133271436
1034.91130168271   389.369066353757
1042.0384772836   7.16839101398858
1042.0384772836   44.7303616635973
1045.6204501662   1.89281615401725
1056.44041574199   7.16839101398858
1056.44041574199   1.89281615401725
1060.07189481284   15.5873068275443
1060.07189481284   10.
1071.0414023506   17.9065552969238
1078.41739692904   33.8938171288204
1093.32212580577   29.5039061607991
1097.08038453801   4.9979876738269
1097.08038453801   8.70480478745239
1116.06635201311   4.86123916248024
1119.90279327247   2.95039061607991
1123.75242217208   2.0570886693215
1131.49142437615   1.84102735256216
1143.19997336169   1.55873068275443
1155.02968112616   1.89281615401725
1162.9840819992   2.23561796240478
1166.9818014073   8.94967426547249
1175.01851354693   10.
1191.25835947247   9.72639285994487
1203.58537013807   846.663511318906
1216.03993935613   846.663511318906
1228.62338708856   823.498193126804
1232.84673944206   6.41547645827376
1245.60410209585   5.58454701877694
1249.8858250969   4.11583381866649
1267.16040672271   3.78715650686657
1280.27284343678   2.29850674818152
1289.08976268134   16.9400880228787
1306.90617909418   17.9065552969238
1324.96883491018   19.4606179420557
1347.89861795951   19.4606179420557
1352.53197498353   3.11871654049304
1366.52782730944   2.23561796240478
1375.93876308036   3.03338622916434
1380.66850717803   6.23994444168982
1380.66850717803   1.89281615401725
1399.7506267977   9.72639285994487
1404.56222339119   5.58454701877694
