# Numerical radiation field:  solar
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
69.89031 1.34208e+03
69.89480 1.37718e+03
69.89929 1.34669e+03
69.90377 1.24767e+03
69.90826 1.26430e+03
69.91275 1.32581e+03
69.91724 1.21813e+03
69.92173 1.24086e+03
69.92726 1.36319e+03
69.93174 1.34104e+03
69.93622 1.39825e+03
69.94071 1.38791e+03
69.94519 1.26669e+03
69.94967 1.35135e+03
69.95416 1.31514e+03
69.95864 1.32439e+03
69.96312 1.36027e+03
69.96760 1.34459e+03
69.97209 1.35795e+03
69.97657 1.26361e+03
69.98105 1.42758e+03
69.98553 1.47459e+03
69.99001 1.53099e+03
69.99450 1.54818e+03
69.99898 1.63852e+03
70.00146 2.06954e+03
70.00594 3.13120e+03
70.01043 4.75083e+03
70.01491 7.46937e+03
70.01939 1.00338e+04
70.02388 1.08473e+04
70.02836 9.59314e+03
70.03284 6.82542e+03
70.03732 3.90135e+03
70.04181 2.31165e+03
70.04629 1.54634e+03
70.05077 1.41843e+03
70.05525 1.42115e+03
70.05974 1.36762e+03
70.06422 1.50331e+03
70.06870 1.38918e+03
70.07318 1.40942e+03
70.07767 1.42566e+03
70.08215 1.40948e+03
70.08663 1.41577e+03
70.09112 1.47878e+03
70.09560 1.44694e+03
70.10008 1.30779e+03
70.10456 1.34066e+03
70.10905 1.36042e+03
70.11353 1.45420e+03
70.11801 1.50081e+03
70.12250 1.36145e+03
70.12698 1.40596e+03
70.13146 1.55883e+03
70.13595 1.46366e+03
70.14043 1.37877e+03
70.14491 1.24803e+03
70.14939 1.32083e+03
70.15388 1.41028e+03
70.15836 1.35779e+03
70.16284 1.31672e+03
70.16733 1.39677e+03
70.17181 1.37767e+03
70.17629 1.40793e+03
70.18077 1.53704e+03
70.18526 1.43461e+03
70.18974 1.58293e+03
70.19422 1.64807e+03
70.19871 1.71435e+03
70.20319 2.03543e+03
70.20767 2.47575e+03
70.21215 3.34482e+03
70.21664 5.22630e+03
70.22112 9.75021e+03
70.22561 1.68970e+04
70.23009 2.47184e+04
70.23457 2.78243e+04
70.23905 2.31862e+04
70.24354 1.43820e+04
70.24802 7.57893e+03
70.25250 4.23470e+03
70.25699 3.38201e+03
70.26147 4.37314e+03
70.26595 7.53124e+03
70.27044 1.48264e+04
70.27492 2.92721e+04
70.27940 4.88212e+04
70.28389 6.66247e+04
70.28837 7.30889e+04
70.29285 6.46114e+04
70.29734 4.49067e+04
70.30182 2.45956e+04
70.30630 1.13519e+04
70.31078 5.23128e+03
70.31527 2.88114e+03
70.31975 2.06091e+03
70.32424 1.87901e+03
70.32872 1.66075e+03
70.33320 1.74931e+03
70.33768 1.71186e+03
70.34217 1.79093e+03
70.34665 1.78207e+03
70.35113 2.16918e+03
70.35562 2.86592e+03
70.36010 4.51620e+03
70.36459 8.11871e+03
70.36907 1.63668e+04
70.37355 3.50802e+04
70.37803 6.58648e+04
70.38252 1.01985e+05
70.38700 1.21614e+05
70.39149 1.09868e+05
70.39597 7.44732e+04
70.40045 3.83584e+04
70.40494 1.76654e+04
70.40942 8.01440e+03
70.41390 4.25111e+03
70.41839 2.55509e+03
70.42287 2.01337e+03
70.42735 1.71869e+03
70.43184 1.64892e+03
70.43632 1.65657e+03
70.44080 1.54321e+03
70.44529 1.52262e+03
70.44977 1.62547e+03
70.45426 1.58612e+03
70.45874 1.63960e+03
70.46322 1.54118e+03
70.46770 1.65333e+03
70.47219 1.60292e+03
70.47667 1.56141e+03
70.48116 1.61707e+03
70.48564 1.50275e+03
70.49012 1.43343e+03
70.49461 1.56583e+03
70.49909 1.56021e+03
70.50357 1.54091e+03
70.50806 1.48955e+03
70.51254 1.52011e+03
70.51703 1.41169e+03
70.52151 1.55026e+03
70.52599 1.64409e+03
70.53048 1.62611e+03
70.53496 1.56376e+03
70.53944 1.61178e+03
70.54393 1.55363e+03
70.54841 1.55365e+03
70.55290 1.61557e+03
70.55738 1.59637e+03
70.56186 1.62737e+03
70.56635 1.61544e+03
70.57083 1.97360e+03
70.57532 2.09705e+03
70.57980 2.68395e+03
70.58428 4.38376e+03
70.58877 7.27570e+03
70.59325 1.26857e+04
70.59773 1.85764e+04
70.60222 2.19819e+04
70.60670 2.14775e+04
70.61119 1.57310e+04
70.61567 8.93160e+03
70.62015 4.97109e+03
70.62464 2.88266e+03
70.62912 2.10188e+03
70.63361 1.96121e+03
70.63809 2.18164e+03
70.64257 2.55896e+03
70.64706 2.92779e+03
70.65154 2.78952e+03
70.65603 2.42281e+03
70.66051 2.02456e+03
70.66499 1.84812e+03
70.66948 1.58984e+03
70.67396 1.49961e+03
70.67845 1.49147e+03
70.68293 1.46147e+03
70.68741 1.52852e+03
70.69190 1.51053e+03
70.69638 1.48197e+03
70.70087 1.42864e+03
70.70535 1.36407e+03
70.70983 1.54124e+03
70.71432 1.54108e+03
70.71880 1.53419e+03
70.72329 1.59841e+03
70.72777 1.73215e+03
70.73225 1.74322e+03
70.73674 1.77627e+03
70.74122 1.75797e+03
70.74571 1.63962e+03
70.75019 1.52341e+03
70.75468 1.57599e+03
70.75916 1.60575e+03
70.76364 1.53295e+03
70.76813 1.55195e+03
70.77261 1.51602e+03
70.77710 1.46927e+03
70.78158 1.56341e+03
70.78607 1.44815e+03
70.79055 1.48043e+03
70.79503 1.52358e+03
70.79952 1.49086e+03
70.80400 1.51544e+03
70.80849 1.48115e+03
70.81297 1.55483e+03
70.81746 1.48735e+03
70.82194 1.59320e+03
70.82643 1.54151e+03
70.83091 1.53025e+03
70.83539 1.52656e+03
70.83988 1.56854e+03
70.84436 1.70038e+03
70.84885 1.58240e+03
70.85333 1.61014e+03
