24  5 2.302E-09 0.7167 5.002E+02 5.030E+07
25  5 2.450E-09 0.7160 5.442E+02 5.456E+07
26  5 2.199E-09 0.7118 7.810E+02 5.946E+07
27  5 2.654E-09 0.7148 6.726E+02 6.351E+07
28  5 2.660E-09 0.7150 7.865E+02 6.761E+07
29  5 2.679E-09 0.7128 9.094E+02 7.300E+07
30  5 2.916E-09 0.7150 9.113E+02 7.726E+07
36  5 3.422E-09 0.7122 1.533E+03 1.107E+08
42  5 4.461E-09 0.7147 1.874E+03 1.481E+08
54  5 5.917E-09 0.7162 3.263E+03 2.390E+08
 7  6 6.387E-10 0.7308 9.467E-02 2.954E+06 0.2440 6.739E+04
 8  6 2.096E-09 0.7668 1.602E-01 4.377E+06 0.1070 1.392E+05
 9  6 1.468E-09 0.7652 1.284E+00 6.039E+06 0.0664 2.235E+05
10  6 1.861E-09 0.7593 2.504E+00 8.037E+06 0.0406 3.255E+05
11  6 1.077E-09 0.7469 1.430E+01 1.018E+07 0.0289 3.593E+05
12  6 9.133E-10 0.7353 3.674E+01 1.263E+07 0.0211 4.049E+05
13  6 4.100E-09 0.7507 5.134E+00 1.603E+07
14  6 2.100E-09 0.7401 2.523E+01 1.842E+07
15  6 1.763E-09 0.7310 5.234E+01 2.117E+07
16  6 1.518E-09 0.7246 9.845E+01 2.390E+07
17  6 1.440E-09 0.7187 1.522E+02 2.712E+07
18  6 1.464E-09 0.7144 2.040E+02 3.025E+07
19  6 1.461E-09 0.7108 2.734E+02 3.371E+07
20  6 1.532E-09 0.7089 3.305E+02 3.713E+07
21  6 1.432E-09 0.7048 4.761E+02 4.102E+07
22  6 1.458E-09 0.7005 5.875E+02 4.526E+07
23  6 1.532E-09 0.7008 6.698E+02 4.908E+07
24  6 1.567E-09 0.6986 7.957E+02 5.340E+07
25  6 1.642E-09 0.6982 8.948E+02 5.767E+07
26  6 1.659E-09 0.6958 1.061E+03 6.253E+07
27  6 1.672E-09 0.6935 1.254E+03 6.763E+07
28  6 1.744E-09 0.6928 1.385E+03 7.245E+07
29  6 2.128E-09 0.6988 1.157E+03 7.589E+07
